id,keyword,rank
677452,도박장,1
677452,부활남,2
677452,엣지오브,3
677452,유주가,4
677452,인상착의,5
677753,갸오오,1
677753,저승사자,2
677753,금요일,3
677753,주씩,4
677753,제임스,5
678494,작화,1
678494,정주행,2
678494,김정휘,3
678494,마고,4
678494,선인의,5
679519,탕탕,1
679519,깔깔깔,2
679519,응가,3
679519,하하하하하,4
679519,헥헥헥헥헥헥헥헥헥헥,5
679543,아르테미스,1
679543,아폴론,2
679543,신이,3
679543,휴재,4
679543,환생,5
679568,최강자전,1
679568,덴마,2
679568,제니오,3
679568,란포,4
679568,공학자가,5
680193,거장,1
680193,거장들의,2
680193,팬레터도,3
680193,추억,4
680193,역사,5
682222,동반자살은,1
682222,명선이,2
682222,소류지,3
682222,우메,4
682222,암매장,5
682637,철수,1
682637,배기꽈배기꽈배기꽈배,2
682637,낄낄,3
682637,처치,4
682637,혼란,5
682803,현모양처,1
682803,지적을하던가,2
682803,아메바가,3
682803,꼬물꼬물꼬물,4
682803,분신사바,5
683496,강북사신,1
683496,하트히터,2
683496,타이거디,3
683496,퐝코,4
683496,십자성,5
685460,류진,1
685460,골체,2
685460,설악,3
685460,오수의,4
685460,산신,5
685989,소미,1
685989,완결,2
685989,공유할까,3
685989,셀카,4
685989,안봤은데,5
686312,노동부,1
686312,교구,2
686312,외주,3
686312,은행원,4
686312,소연씨,5
686885,보행에,1
686885,곰돌이,2
686885,경직과,3
686885,유적들을,4
686885,단편선,5
686911,점크래프트,1
686911,꼬물꼬물꼬물,2
686911,꼬물꼬물,3
686911,뚠뚠,4
686911,지리구여,5
687610,실적,1
687610,인트로,2
687610,방탄,3
687610,현직,4
687610,항공사,5
687915,혀엉,1
687915,잠순이,2
687915,드림코퍼,3
687915,딜드,4
687915,꿈사원,5
690502,윤덩민씨,1
690502,임총,2
690502,민송아,3
690502,쪽문도,4
690502,랑또,5
690503,일호,1
690503,일호한테,2
690503,일호에게,3
690503,일호보다,4
690503,랑이,5
690594,게살스프,1
690594,울었네요,2
690594,마미손,3
690594,울었,4
690594,곰토,5
692510,등근육,1
692510,우희비,2
692510,빠안스,3
692510,김스,4
692510,사귑니다,5
693445,짜집기,1
693445,고료주고,2
693445,패턴인,3
693445,물타기,4
693445,메갈,5
694131,나인스터프,1
694131,헤르메스,2
694131,카밀라,3
